call,n_wolves,n_iter,w3_min,a_exp,mse_peaks,r2_map,J,time_s,best_J
39,6,55,0.28302138904522833,2.862194606169435,0.0865122023225475,0.965488139184111,0.060512031569218236,381.6934063434601,0.04072525285234603
40,22,60,0.15741281156788878,2.9924178969279605,0.08940421280051128,0.9711540397615991,0.059125086519456097,300.0285131931305,0.04072525285234603
41,11,21,0.20500831296706648,2.762237989198812,0.08996735501965593,0.9574967859211542,0.06623528454925087,304.4428594112396,0.04072525285234603
42,40,46,0.23421250508090857,2.400765151358892,0.07219863829696975,0.9776934157003033,0.04725261129833321,384.8796510696411,0.04072525285234603
43,44,31,0.2289334288681928,2.706380584208059,0.07901504706815313,0.9840166205529208,0.04749921325761615,345.49464225769043,0.04072525285234603
44,40,39,0.2343057016598328,1.032937834081482,0.07437256016026736,0.9666718462547438,0.05385035695276179,559.2807421684265,0.04072525285234603
45,13,60,0.17988504324179885,2.4383212920633865,0.07062131620709285,0.9857348253959575,0.04244324540556769,468.7785415649414,0.04072525285234603
46,32,52,0.2435189124496258,1.4135858469446712,0.07494020246109379,0.9641741851606624,0.05538300865021567,309.82084131240845,0.04072525285234603
47,21,25,0.2253403711889455,1.141607661445536,0.08109820380835525,0.9702027080919635,0.05544774785819587,267.69011521339417,0.04072525285234603
48,5,29,0.1811657142407893,2.7639528693809114,0.1169279650931216,0.9509724959847802,0.0829777345541707,218.62383008003235,0.04072525285234603
49,27,60,0.06126287308539626,1.0286273110660387,0.0837369831837165,0.9652065429572321,0.059265220113242215,475.54175424575806,0.04072525285234603
50,13,22,0.0,2.4541806082544824,0.08695700926226572,0.9720188009070666,0.05746910417759956,270.384263753891,0.04072525285234603
